the,53739,0.0
you,39097,0.04435502169138335
a,31452,0.04435502169138335
to,31322,0.04435502169138335
of,21394,0.04435502169138335
and,20048,0.04435502169138335
i,19313,0.06626536094824927
it,17177,0.08575243687716687
your,12940,0.10043269318037429
that,12749,0.10043269318037429
in,12341,0.10043269318037429
is,11224,0.10043269318037429
he,9183,0.11085068341471384
her,9049,0.12111665244776824
for,9018,0.13134745239694323
be,7897,0.13134745239694323
but,7641,0.14001606432992686
this,7472,0.1484929480314389
his,6987,0.15641960574322486
with,6942,0.15641960574322486
she,6656,0.16397074839810497
my,6634,0.17149693234829647
what,6528,0.17890286072135195
me,6376,0.1861363471347407
not,6375,0.1933686990615527
have,5840,0.19999410066980086
on,5831,0.20660929189885827
him,5780,0.21316662431250114
are,5547,0.21316662431250114
we,5288,0.21916578933038064
tell,4918,0.22474519431486087
if,4836,0.23023157140004719
all,4555,0.2353991577571654
no,4478,0.24047938864787352
from,4449,0.24552671942785573
do,4405,0.25052413279846075
can,4321,0.25542624929661834
say,4270,0.26027050697936144
at,4202,0.26027050697936144
know,4023,0.2648345464776461
wa,4005,0.26937816521754915
there,3873,0.2737720317293206
will,3839,0.27812732569748233
one,3837,0.2824803506924906
here,3641,0.2866110163184549
like,3566,0.2906565954511626
now,3436,0.29455469132889217
so,3422,0.29455469132889217
they,3209,0.2981952587536984
out,3186,0.3018097329872393
ask,3168,0.3054037864623986
an,3081,0.3054037864623986
look,2860,0.3086484180719174
more,2818,0.3118454012452125
see,2751,0.31496637381786496
then,2671,0.31496637381786496
just,2657,0.31798070465230255
about,2518,0.3208373418525712
by,2510,0.3236849031602258
take,2425,0.32643603310885627
them,2417,0.3291780871648727
u,2306,0.33179421321086927
well,2296,0.3343989943910984
eye,2263,0.33696633751429456
up,2234,0.3395007805267648
time,2214,0.34201253380769997
back,2192,0.34449932838394653
get,2161,0.34695095387631375
good,2134,0.3493719482311085
who,2127,0.35178500117986605
ha,2124,0.3541946506688933
must,2068,0.3565407689096223
into,2053,0.35886986985169994
or,2048,0.3611932983608938
hand,2047,0.36351559238351094
how,2002,0.3657868345101741
go,1991,0.36804559728449293
source,1927,0.37023175291789945
would,1877,0.3723611842224683
spirit,1853,0.374463387849195
away,1849,0.37656105352961466
want,1833,0.37864056742480623
need,1818,0.3807030640213465
find,1797,0.38274173639977493
our,1789,0.3847713328855893
than,1758,0.3867657602875243
let,1743,0.3887431703908079
come,1739,0.3907160425477846
could,1734,0.39268324227187745
when,1722,0.39463682815704926
god,1719,0.3965870105824908
their,1717,0.3985349240347788
too,1712,0.40047716505418307
right,1661,0.40236154725817286
were,1615,0.40236154725817286
way,1606,0.4041835327004411
make,1585,0.4059816939245975
before,1567,0.40775943439037227
some,1560,0.40952923345010983
think,1557,0.4112956290501171
only,1553,0.4130574867038173
help,1552,0.4148182098709408
did,1548,0.41657439509175725
still,1545,0.4183271768528435
dead,1515,0.42004592401662705
been,1507,0.42175559528779655
thing,1501,0.42345845963950557
leave,1489,0.42514771015229347
head,1464,0.42680859850066255
something,1391,0.4283866693289285
may,1368,0.4299386469659291
never,1335,0.4314531865458968
should,1331,0.4329631881795575
had,1322,0.43446297943402734
face,1314,0.4359536947958832
magister,1314,0.437444410157739
divine,1300,0.4389192427075203
where,1297,0.4403906717975713
turn,1293,0.4418575629413153
feel,1292,0.44332331959848253
down,1288,0.4447845383093427
am,1240,0.4447845383093427
little,1235,0.4461856292316349
give,1228,0.44757877874788987
place,1227,0.44897079377756804
even,1207,0.4503401190757111
over,1204,0.4517060409141239
again,1197,0.4530640213464994
power,1195,0.45441973280572145
own,1191,0.4557709063186364
nothing,1188,0.4571186763718212
very,1187,0.45846531193842915
world,1172,0.4597949302063858
any,1162,0.4611132036085749
got,1132,0.46239744241346137
why,1120,0.4636680673794268
much,1108,0.46492507850647113
lucian,1104,0.4661775516872084
life,1103,0.46742889038136903
godwoken,1101,0.46867796010237606
off,1064,0.4698850538200432
magisters,1048,0.47107399575248227
once,1033,0.47224592038627
long,1033,0.47341784502005774
around,1026,0.47458182824780815
oh,1020,0.4757390045560981
keep,1018,0.4768939118912345
elf,984,0.47801024668276126
sure,983,0.47912544698771126
blood,979,0.4802361093463542
people,978,0.48134563721842044
through,973,0.4824494926576029
these,968,0.48354767566390155
after,967,0.4846447241836235
mind,965,0.48573950373019187
better,960,0.4868286108438765
king,953,0.48790977655152384
those,950,0.4889875387994409
yourself,948,0.4900630320742045
lizard,942,0.49113171842950754
enough,940,0.49219813581165706
dwarf,939,0.49326341870722984
man,936,0.49432529814307236
soul,934,0.4953849086057614
hear,912,0.4964195603637618
please,894,0.49743379136338056
other,888,0.49844121544353887
day,886,0.49944637055054364
word,883,0.5004481221978182
black,880,0.5014464703853624
yes,876,0.5024402806265996
death,862,0.5034182080557623
seems,858,0.504391597538618
smile,858,0.5053649870214736
friend,832,0.5063088798533336
ring,829,0.5072493692254634
mean,826,0.5081864551378628
found,825,0.5091224065636856
stand,825,0.5100583579895083
voidwoken,820,0.5109886369824472
might,817,0.5119155125156559
done,810,0.5128344466428273
master,803,0.5137454393639614
another,802,0.5146552975985188
name,800,0.5155628868599227
yet,795,0.5164648036884427
last,792,0.5173633170572326
order,786,0.5182550235065618
free,784,0.5191444609827377
red,783,0.5200327639723367
doe,781,0.5209187979887822
demon,781,0.5218048320052278
such,781,0.5226908660216733
new,779,0.5235746310649653
moment,743,0.5244175545914941
weapon,739,0.5252559401717158
great,736,0.5260909222922074
first,721,0.5269088871140477
kill,719,0.5277245829627344
someone,711,0.5285312029188071
